Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2022,END OF DEC,,STATE,ALABAMA,01,,,,,,,00000000,,CATTLE,"CATTLE, (EXCL COWS) - INVENTORY",TOTAL,NOT SPECIFIED,527122.00,5.2
CENSUS,2022,END OF DEC,,STATE,ALASKA,02,,,,,,,00000000,,CATTLE,"CATTLE, (EXCL COWS) - INVENTORY",TOTAL,NOT SPECIFIED,8593.00,(L)
CENSUS,2022,END OF DEC,,STATE,ARIZONA,04,,,,,,,00000000,,CATTLE,"CATTLE, (EXCL COWS) - INVENTORY",TOTAL,NOT SPECIFIED,622220.00,4.2
CENSUS,2022,END OF DEC,,STATE,ARKANSAS,05,,,,,,,00000000,,CATTLE,"CATTLE, (EXCL COWS) - INVENTORY",TOTAL,NOT SPECIFIED,702081.00,3.2
CENSUS,2022,END OF DEC,,STATE,CALIFORNIA,06,,,,,,,00000000,,CATTLE,"CATTLE, (EXCL COWS) - INVENTORY",TOTAL,NOT SPECIFIED,2868848.00,2.2
CENSUS,2022,END OF DEC,,STATE,COLORADO,08,,,,,,,00000000,,CATTLE,"CATTLE, (EXCL COWS) - INVENTORY",TOTAL,NOT SPECIFIED,1810257.00,3.2
CENSUS,2022,END OF DEC,,STATE,CONNECTICUT,09,,,,,,,00000000,,CATTLE,"CATTLE, (EXCL COWS) - INVENTORY",TOTAL,NOT SPECIFIED,21055.00,4.9
CENSUS,2022,END OF DEC,,STATE,DELAWARE,10,,,,,,,00000000,,CATTLE,"CATTLE, (EXCL COWS) - INVENTORY",TOTAL,NOT SPECIFIED,6003.00,6.4
CENSUS,2022,END OF DEC,,STATE,FLORIDA,12,,,,,,,00000000,,CATTLE,"CATTLE, (EXCL COWS) - INVENTORY",TOTAL,NOT SPECIFIED,596455.00,4.7
CENSUS,2022,END OF DEC,,STATE,GEORGIA,13,,,,,,,00000000,,CATTLE,"CATTLE, (EXCL COWS) - INVENTORY",TOTAL,NOT SPECIFIED,436775.00,11.4
