Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2022,END OF DEC,,STATE,ALABAMA,01,,,,,,,00000000,,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,NOT SPECIFIED,1970.00,5.5
CENSUS,2022,END OF DEC,,STATE,ALASKA,02,,,,,,,00000000,,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,NOT SPECIFIED,134.00,(L)
CENSUS,2022,END OF DEC,,STATE,ARIZONA,04,,,,,,,00000000,,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,NOT SPECIFIED,199188.00,8.3
CENSUS,2022,END OF DEC,,STATE,ARKANSAS,05,,,,,,,00000000,,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,NOT SPECIFIED,3809.00,6.8
CENSUS,2022,END OF DEC,,STATE,CALIFORNIA,06,,,,,,,00000000,,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,NOT SPECIFIED,1688202.00,1
CENSUS,2022,END OF DEC,,STATE,COLORADO,08,,,,,,,00000000,,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,NOT SPECIFIED,201750.00,2.5
CENSUS,2022,END OF DEC,,STATE,CONNECTICUT,09,,,,,,,00000000,,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,NOT SPECIFIED,18885.00,1.6
CENSUS,2022,END OF DEC,,STATE,DELAWARE,10,,,,,,,00000000,,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,NOT SPECIFIED,2507.00,4.3
CENSUS,2022,END OF DEC,,STATE,FLORIDA,12,,,,,,,00000000,,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,NOT SPECIFIED,94013.00,1.7
CENSUS,2022,END OF DEC,,STATE,GEORGIA,13,,,,,,,00000000,,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,NOT SPECIFIED,72830.00,37.8
CENSUS,2022,END OF DEC,,STATE,HAWAII,15,,,,,,,00000000,,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,NOT SPECIFIED,633.00,3.9
CENSUS,2022,END OF DEC,,STATE,IDAHO,16,,,,,,,00000000,,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,NOT SPECIFIED,664479.00,2.3
CENSUS,2022,END OF DEC,,STATE,ILLINOIS,17,,,,,,,00000000,,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,NOT SPECIFIED,73006.00,2.1
CENSUS,2022,END OF DEC,,STATE,INDIANA,18,,,,,,,00000000,,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,NOT SPECIFIED,183176.00,11.1
CENSUS,2022,END OF DEC,,STATE,IOWA,19,,,,,,,00000000,,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,NOT SPECIFIED,238087.00,3.5
CENSUS,2022,END OF DEC,,STATE,KANSAS,20,,,,,,,00000000,,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,NOT SPECIFIED,176106.00,11.8
CENSUS,2022,END OF DEC,,STATE,KENTUCKY,21,,,,,,,00000000,,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,NOT SPECIFIED,45904.00,1.8
CENSUS,2022,END OF DEC,,STATE,LOUISIANA,22,,,,,,,00000000,,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,NOT SPECIFIED,7796.00,43.2
CENSUS,2022,END OF DEC,,STATE,MAINE,23,,,,,,,00000000,,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,NOT SPECIFIED,24836.00,6
CENSUS,2022,END OF DEC,,STATE,MARYLAND,24,,,,,,,00000000,,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,NOT SPECIFIED,38290.00,5.3
CENSUS,2022,END OF DEC,,STATE,MASSACHUSETTS,25,,,,,,,00000000,,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,NOT SPECIFIED,9962.00,4.3
CENSUS,2022,END OF DEC,,STATE,MICHIGAN,26,,,,,,,00000000,,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,NOT SPECIFIED,436254.00,8.8
CENSUS,2022,END OF DEC,,STATE,MINNESOTA,27,,,,,,,00000000,,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,NOT SPECIFIED,459536.00,7
CENSUS,2022,END OF DEC,,STATE,MISSISSIPPI,28,,,,,,,00000000,,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,NOT SPECIFIED,6848.00,16.3
CENSUS,2022,END OF DEC,,STATE,MISSOURI,29,,,,,,,00000000,,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,NOT SPECIFIED,63882.00,3.1
CENSUS,2022,END OF DEC,,STATE,MONTANA,30,,,,,,,00000000,,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,NOT SPECIFIED,10237.00,1.3
CENSUS,2022,END OF DEC,,STATE,NEBRASKA,31,,,,,,,00000000,,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,NOT SPECIFIED,57036.00,26.9
CENSUS,2022,END OF DEC,,STATE,NEVADA,32,,,,,,,00000000,,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,NOT SPECIFIED,31934.00,2.8
CENSUS,2022,END OF DEC,,STATE,NEW HAMPSHIRE,33,,,,,,,00000000,,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,NOT SPECIFIED,10477.00,3
CENSUS,2022,END OF DEC,,STATE,NEW JERSEY,34,,,,,,,00000000,,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,NOT SPECIFIED,4445.00,5.9
CENSUS,2022,END OF DEC,,STATE,NEW MEXICO,35,,,,,,,00000000,,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,NOT SPECIFIED,281569.00,0.3
CENSUS,2022,END OF DEC,,STATE,NEW YORK,36,,,,,,,00000000,,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,NOT SPECIFIED,631199.00,1
CENSUS,2022,END OF DEC,,STATE,NORTH CAROLINA,37,,,,,,,00000000,,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,NOT SPECIFIED,39528.00,5.2
CENSUS,2022,END OF DEC,,STATE,NORTH DAKOTA,38,,,,,,,00000000,,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,NOT SPECIFIED,14191.00,19.7
