Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2022,END OF DEC,,NATIONAL,US TOTAL,,,,,,,,00000000,,CHICKENS,"CHICKENS, BROILERS - INVENTORY",TOTAL,NOT SPECIFIED,1737674957.00,3.6
CENSUS,2022,END OF DEC,,STATE,ALABAMA,01,,,,,,,00000000,,CHICKENS,"CHICKENS, BROILERS - INVENTORY",TOTAL,NOT SPECIFIED,216491903.00,5.9
CENSUS,2022,END OF DEC,,STATE,ALASKA,02,,,,,,,00000000,,CHICKENS,"CHICKENS, BROILERS - INVENTORY",TOTAL,NOT SPECIFIED,4057.00,(L)
CENSUS,2022,END OF DEC,,STATE,ARIZONA,04,,,,,,,00000000,,CHICKENS,"CHICKENS, BROILERS - INVENTORY",TOTAL,NOT SPECIFIED,3741.00,35.7
CENSUS,2022,END OF DEC,,STATE,ARKANSAS,05,,,,,,,00000000,,CHICKENS,"CHICKENS, BROILERS - INVENTORY",TOTAL,NOT SPECIFIED,205552568.00,12
CENSUS,2022,END OF DEC,,STATE,CALIFORNIA,06,,,,,,,00000000,,CHICKENS,"CHICKENS, BROILERS - INVENTORY",TOTAL,NOT SPECIFIED,50781157.00,17.2
CENSUS,2022,END OF DEC,,STATE,COLORADO,08,,,,,,,00000000,,CHICKENS,"CHICKENS, BROILERS - INVENTORY",TOTAL,NOT SPECIFIED,118209.00,5.4
CENSUS,2022,END OF DEC,,STATE,CONNECTICUT,09,,,,,,,00000000,,CHICKENS,"CHICKENS, BROILERS - INVENTORY",TOTAL,NOT SPECIFIED,51667.00,58.8
CENSUS,2022,END OF DEC,,STATE,DELAWARE,10,,,,,,,00000000,,CHICKENS,"CHICKENS, BROILERS - INVENTORY",TOTAL,NOT SPECIFIED,50458117.00,4.4
CENSUS,2022,END OF DEC,,STATE,FLORIDA,12,,,,,,,00000000,,CHICKENS,"CHICKENS, BROILERS - INVENTORY",TOTAL,NOT SPECIFIED,12259925.00,14.2
CENSUS,2022,END OF DEC,,STATE,GEORGIA,13,,,,,,,00000000,,CHICKENS,"CHICKENS, BROILERS - INVENTORY",TOTAL,NOT SPECIFIED,231349257.00,8.7
CENSUS,2022,END OF DEC,,STATE,HAWAII,15,,,,,,,00000000,,CHICKENS,"CHICKENS, BROILERS - INVENTORY",TOTAL,NOT SPECIFIED,12768.00,4.8
CENSUS,2022,END OF DEC,,STATE,IDAHO,16,,,,,,,00000000,,CHICKENS,"CHICKENS, BROILERS - INVENTORY",TOTAL,NOT SPECIFIED,12403.00,9.7
CENSUS,2022,END OF DEC,,STATE,ILLINOIS,17,,,,,,,00000000,,CHICKENS,"CHICKENS, BROILERS - INVENTORY",TOTAL,NOT SPECIFIED,288560.00,4.4
CENSUS,2022,END OF DEC,,STATE,INDIANA,18,,,,,,,00000000,,CHICKENS,"CHICKENS, BROILERS - INVENTORY",TOTAL,NOT SPECIFIED,8174313.00,3.3
CENSUS,2022,END OF DEC,,STATE,IOWA,19,,,,,,,00000000,,CHICKENS,"CHICKENS, BROILERS - INVENTORY",TOTAL,NOT SPECIFIED,2914861.00,4.7
CENSUS,2022,END OF DEC,,STATE,KANSAS,20,,,,,,,00000000,,CHICKENS,"CHICKENS, BROILERS - INVENTORY",TOTAL,NOT SPECIFIED,19300.00,15.7
CENSUS,2022,END OF DEC,,STATE,KENTUCKY,21,,,,,,,00000000,,CHICKENS,"CHICKENS, BROILERS - INVENTORY",TOTAL,NOT SPECIFIED,48826967.00,13.8
CENSUS,2022,END OF DEC,,STATE,LOUISIANA,22,,,,,,,00000000,,CHICKENS,"CHICKENS, BROILERS - INVENTORY",TOTAL,NOT SPECIFIED,27083927.00,21.2
CENSUS,2022,END OF DEC,,STATE,MAINE,23,,,,,,,00000000,,CHICKENS,"CHICKENS, BROILERS - INVENTORY",TOTAL,NOT SPECIFIED,133684.00,99
CENSUS,2022,END OF DEC,,STATE,MARYLAND,24,,,,,,,00000000,,CHICKENS,"CHICKENS, BROILERS - INVENTORY",TOTAL,NOT SPECIFIED,60567658.00,13.1
CENSUS,2022,END OF DEC,,STATE,MASSACHUSETTS,25,,,,,,,00000000,,CHICKENS,"CHICKENS, BROILERS - INVENTORY",TOTAL,NOT SPECIFIED,36805.00,22.6
CENSUS,2022,END OF DEC,,STATE,MICHIGAN,26,,,,,,,00000000,,CHICKENS,"CHICKENS, BROILERS - INVENTORY",TOTAL,NOT SPECIFIED,2277900.00,26.3
CENSUS,2022,END OF DEC,,STATE,MINNESOTA,27,,,,,,,00000000,,CHICKENS,"CHICKENS, BROILERS - INVENTORY",TOTAL,NOT SPECIFIED,7767645.00,29.1
CENSUS,2022,END OF DEC,,STATE,MISSISSIPPI,28,,,,,,,00000000,,CHICKENS,"CHICKENS, BROILERS - INVENTORY",TOTAL,NOT SPECIFIED,124374849.00,14.8
CENSUS,2022,END OF DEC,,STATE,MISSOURI,29,,,,,,,00000000,,CHICKENS,"CHICKENS, BROILERS - INVENTORY",TOTAL,NOT SPECIFIED,56614738.00,3.2
CENSUS,2022,END OF DEC,,STATE,MONTANA,30,,,,,,,00000000,,CHICKENS,"CHICKENS, BROILERS - INVENTORY",TOTAL,NOT SPECIFIED,95107.00,1
CENSUS,2022,END OF DEC,,STATE,NEBRASKA,31,,,,,,,00000000,,CHICKENS,"CHICKENS, BROILERS - INVENTORY",TOTAL,NOT SPECIFIED,15912621.00,15.3
CENSUS,2022,END OF DEC,,STATE,NEVADA,32,,,,,,,00000000,,CHICKENS,"CHICKENS, BROILERS - INVENTORY",TOTAL,NOT SPECIFIED,887.00,19
CENSUS,2022,END OF DEC,,STATE,NEW HAMPSHIRE,33,,,,,,,00000000,,CHICKENS,"CHICKENS, BROILERS - INVENTORY",TOTAL,NOT SPECIFIED,19994.00,10.5
CENSUS,2022,END OF DEC,,STATE,NEW JERSEY,34,,,,,,,00000000,,CHICKENS,"CHICKENS, BROILERS - INVENTORY",TOTAL,NOT SPECIFIED,52074.00,7.7
CENSUS,2022,END OF DEC,,STATE,NEW MEXICO,35,,,,,,,00000000,,CHICKENS,"CHICKENS, BROILERS - INVENTORY",TOTAL,NOT SPECIFIED,6292.00,8.8
CENSUS,2022,END OF DEC,,STATE,NEW YORK,36,,,,,,,00000000,,CHICKENS,"CHICKENS, BROILERS - INVENTORY",TOTAL,NOT SPECIFIED,460277.00,2.9
CENSUS,2022,END OF DEC,,STATE,NORTH CAROLINA,37,,,,,,,00000000,,CHICKENS,"CHICKENS, BROILERS - INVENTORY",TOTAL,NOT SPECIFIED,193951790.00,14.9
CENSUS,2022,END OF DEC,,STATE,NORTH DAKOTA,38,,,,,,,00000000,,CHICKENS,"CHICKENS, BROILERS - INVENTORY",TOTAL,NOT SPECIFIED,40292.00,6.3
