Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,01,BLACK BELT,40,AUTAUGA,001,,,00000000,,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,959.00,18.9
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,01,BLACK BELT,40,BULLOCK,011,,,00000000,,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,334.00,18.9
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,01,BLACK BELT,40,DALLAS,047,,,00000000,,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,855.00,18.9
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,01,BLACK BELT,40,ELMORE,051,,,00000000,,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,1661.00,18.9
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,01,BLACK BELT,40,GREENE,063,,,00000000,,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,485.00,18.9
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,01,BLACK BELT,40,HALE,065,,,00000000,,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,524.00,18.9
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,01,BLACK BELT,40,LOWNDES,085,,,00000000,,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,323.00,18.9
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,01,BLACK BELT,40,MACON,087,,,00000000,,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,1004.00,18.9
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,01,BLACK BELT,40,MARENGO,091,,,00000000,,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,1966.00,18.9
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,01,BLACK BELT,40,MONTGOMERY,101,,,00000000,,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,566.00,18.9
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,01,BLACK BELT,40,PERRY,105,,,00000000,,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,814.00,18.9
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,01,BLACK BELT,40,SUMTER,119,,,00000000,,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,339.00,18.9
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,01,COASTAL PLAINS & GULF COAST,50,BALDWIN,003,,,00000000,,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,01,COASTAL PLAINS & GULF COAST,50,BUTLER,013,,,00000000,,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,01,COASTAL PLAINS & GULF COAST,50,CHOCTAW,023,,,00000000,,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,384.00,18.9
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,01,COASTAL PLAINS & GULF COAST,50,CLARKE,025,,,00000000,,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,1305.00,18.9
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,01,COASTAL PLAINS & GULF COAST,50,CONECUH,035,,,00000000,,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,01,COASTAL PLAINS & GULF COAST,50,ESCAMBIA,053,,,00000000,,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,1310.00,18.9
