Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,01,BLACK BELT,40,AUTAUGA,001,,,00000000,,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",INVENTORY,INVENTORY: (1 TO 49 HEAD),33.00,18.3
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,01,BLACK BELT,40,AUTAUGA,001,,,00000000,,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",INVENTORY,INVENTORY: (100 TO 399 HEAD),1.00,53.1
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,01,BLACK BELT,40,AUTAUGA,001,,,00000000,,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",INVENTORY,INVENTORY: (50 TO 99 HEAD),3.00,51.2
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,01,BLACK BELT,40,BULLOCK,011,,,00000000,,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",INVENTORY,INVENTORY: (1 TO 49 HEAD),13.00,18.3
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,01,BLACK BELT,40,BULLOCK,011,,,00000000,,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",INVENTORY,INVENTORY: (50 TO 99 HEAD),1.00,51.2
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,01,BLACK BELT,40,DALLAS,047,,,00000000,,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",INVENTORY,INVENTORY: (1 TO 49 HEAD),13.00,18.3
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,01,BLACK BELT,40,DALLAS,047,,,00000000,,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",INVENTORY,INVENTORY: (100 TO 399 HEAD),4.00,53.1
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,01,BLACK BELT,40,ELMORE,051,,,00000000,,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",INVENTORY,INVENTORY: (1 TO 49 HEAD),46.00,18.3
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,01,BLACK BELT,40,ELMORE,051,,,00000000,,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",INVENTORY,INVENTORY: (100 TO 399 HEAD),2.00,53.1
CENSUS,2022,END OF DEC,,COUNTY,ALABAMA,01,BLACK BELT,40,ELMORE,051,,,00000000,,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",INVENTORY,INVENTORY: (50 TO 99 HEAD),10.00,51.2
