Program,Year,Period,WeekEnding,GeoLevel,State,StateANSI,AgDistrict,AgDistrictCode,County,CountyANSI,ZipCode,Region,watershed_code,Watershed,Commodity,DataItem,Domain,DomainCategory,Value,CV___
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,BLACK BELT,40,AUTAUGA,1,NaN,NaN,0,NaN,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,959,18.9
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,BLACK BELT,40,BULLOCK,11,NaN,NaN,0,NaN,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,334,18.9
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,BLACK BELT,40,DALLAS,47,NaN,NaN,0,NaN,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,855,18.9
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,BLACK BELT,40,ELMORE,51,NaN,NaN,0,NaN,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,1661,18.9
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,BLACK BELT,40,GREENE,63,NaN,NaN,0,NaN,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,485,18.9
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,BLACK BELT,40,HALE,65,NaN,NaN,0,NaN,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,524,18.9
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,BLACK BELT,40,LOWNDES,85,NaN,NaN,0,NaN,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,323,18.9
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,BLACK BELT,40,MACON,87,NaN,NaN,0,NaN,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,1004,18.9
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,BLACK BELT,40,MARENGO,91,NaN,NaN,0,NaN,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,1966,18.9
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,BLACK BELT,40,MONTGOMERY,101,NaN,NaN,0,NaN,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,566,18.9
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,BLACK BELT,40,PERRY,105,NaN,NaN,0,NaN,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,814,18.9
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,BLACK BELT,40,SUMTER,119,NaN,NaN,0,NaN,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,339,18.9
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,BALDWIN,3,NaN,NaN,0,NaN,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,464715.808829481,NaN
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,BUTLER,13,NaN,NaN,0,NaN,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,71196.102940824,NaN
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CHOCTAW,23,NaN,NaN,0,NaN,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,384,18.9
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CLARKE,25,NaN,NaN,0,NaN,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,1305,18.9
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CONECUH,35,NaN,NaN,0,NaN,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,70677.5456141327,NaN
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,ESCAMBIA,53,NaN,NaN,0,NaN,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,1310,18.9
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,MOBILE,97,NaN,NaN,0,NaN,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,4183,18.9
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,MONROE,99,NaN,NaN,0,NaN,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,722,18.9
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,WASHINGTON,129,NaN,NaN,0,NaN,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,97816,18.9
