Program,Year,Period,WeekEnding,GeoLevel,State,StateANSI,AgDistrict,AgDistrictCode,County,CountyANSI,ZipCode,Region,watershed_code,Watershed,Commodity,DataItem,Domain,DomainCategory,Value,CV___
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,"BLACK BELT",40,AUTAUGA,1,NaN,NaN,0,NaN,CHICKENS,"CHICKENS, ROOSTERS - INVENTORY",TOTAL,NOT SPECIFIED,36,22.8
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,"BLACK BELT",40,BULLOCK,11,NaN,NaN,0,NaN,CHICKENS,"CHICKENS, ROOSTERS - INVENTORY",TOTAL,NOT SPECIFIED,15,22.8
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,"BLACK BELT",40,DALLAS,47,NaN,NaN,0,NaN,CHICKENS,"CHICKENS, ROOSTERS - INVENTORY",TOTAL,NOT SPECIFIED,16,22.8
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,"BLACK BELT",40,ELMORE,51,NaN,NaN,0,NaN,CHICKENS,"CHICKENS, ROOSTERS - INVENTORY",TOTAL,NOT SPECIFIED,77,22.8
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,"BLACK BELT",40,HALE,65,NaN,NaN,0,NaN,CHICKENS,"CHICKENS, ROOSTERS - INVENTORY",TOTAL,NOT SPECIFIED,23,22.8
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,"BLACK BELT",40,LOWNDES,85,NaN,NaN,0,NaN,CHICKENS,"CHICKENS, ROOSTERS - INVENTORY",TOTAL,NOT SPECIFIED,7,22.8
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,"BLACK BELT",40,MACON,87,NaN,NaN,0,NaN,CHICKENS,"CHICKENS, ROOSTERS - INVENTORY",TOTAL,NOT SPECIFIED,25.4260730899051,NaN
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,"BLACK BELT",40,MARENGO,91,NaN,NaN,0,NaN,CHICKENS,"CHICKENS, ROOSTERS - INVENTORY",TOTAL,NOT SPECIFIED,21,22.8
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,"BLACK BELT",40,MONTGOMERY,101,NaN,NaN,0,NaN,CHICKENS,"CHICKENS, ROOSTERS - INVENTORY",TOTAL,NOT SPECIFIED,24.0319009015172,NaN
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,"BLACK BELT",40,PERRY,105,NaN,NaN,0,NaN,CHICKENS,"CHICKENS, ROOSTERS - INVENTORY",TOTAL,NOT SPECIFIED,29,22.8
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,"COASTAL PLAINS & GULF COAST",50,BALDWIN,3,NaN,NaN,0,NaN,CHICKENS,"CHICKENS, ROOSTERS - INVENTORY",TOTAL,NOT SPECIFIED,70,22.8
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,"COASTAL PLAINS & GULF COAST",50,BUTLER,13,NaN,NaN,0,NaN,CHICKENS,"CHICKENS, ROOSTERS - INVENTORY",TOTAL,NOT SPECIFIED,25.9913193462074,NaN
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,"COASTAL PLAINS & GULF COAST",50,CLARKE,25,NaN,NaN,0,NaN,CHICKENS,"CHICKENS, ROOSTERS - INVENTORY",TOTAL,NOT SPECIFIED,32,22.8
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,"COASTAL PLAINS & GULF COAST",50,CONECUH,35,NaN,NaN,0,NaN,CHICKENS,"CHICKENS, ROOSTERS - INVENTORY",TOTAL,NOT SPECIFIED,24.4661080148005,NaN
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,"COASTAL PLAINS & GULF COAST",50,ESCAMBIA,53,NaN,NaN,0,NaN,CHICKENS,"CHICKENS, ROOSTERS - INVENTORY",TOTAL,NOT SPECIFIED,10,22.8
