Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2022,END OF DEC,,NATIONAL,US TOTAL,,,,,,,,00000000,,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,388509039.00,2.7
CENSUS,2022,END OF DEC,,STATE,ALABAMA,01,,,,,,,00000000,,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,7588334.00,14.9
CENSUS,2022,END OF DEC,,STATE,ALASKA,02,,,,,,,00000000,,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,10134.00,(L)
CENSUS,2022,END OF DEC,,STATE,ARIZONA,04,,,,,,,00000000,,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,END OF DEC,,STATE,ARKANSAS,05,,,,,,,00000000,,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,14421929.00,8.1
CENSUS,2022,END OF DEC,,STATE,CALIFORNIA,06,,,,,,,00000000,,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,13454544.00,1.3
CENSUS,2022,END OF DEC,,STATE,COLORADO,08,,,,,,,00000000,,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,1726744.00,1.3
CENSUS,2022,END OF DEC,,STATE,CONNECTICUT,09,,,,,,,00000000,,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,END OF DEC,,STATE,DELAWARE,10,,,,,,,00000000,,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,END OF DEC,,STATE,FLORIDA,12,,,,,,,00000000,,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,7096782.00,2.6
CENSUS,2022,END OF DEC,,STATE,GEORGIA,13,,,,,,,00000000,,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,22129571.00,36.5
CENSUS,2022,END OF DEC,,STATE,HAWAII,15,,,,,,,00000000,,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,298360.00,0.7
CENSUS,2022,END OF DEC,,STATE,IDAHO,16,,,,,,,00000000,,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,638424.00,10.5
CENSUS,2022,END OF DEC,,STATE,ILLINOIS,17,,,,,,,00000000,,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,7278610.00,1
CENSUS,2022,END OF DEC,,STATE,INDIANA,18,,,,,,,00000000,,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,35924482.00,1.9
CENSUS,2022,END OF DEC,,STATE,IOWA,19,,,,,,,00000000,,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,43137355.00,0.7
CENSUS,2022,END OF DEC,,STATE,KANSAS,20,,,,,,,00000000,,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,2025646.00,3.8
CENSUS,2022,END OF DEC,,STATE,KENTUCKY,21,,,,,,,00000000,,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,5542366.00,19.4
CENSUS,2022,END OF DEC,,STATE,LOUISIANA,22,,,,,,,00000000,,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,3336175.00,34
CENSUS,2022,END OF DEC,,STATE,MAINE,23,,,,,,,00000000,,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,543946.00,0.8
CENSUS,2022,END OF DEC,,STATE,MARYLAND,24,,,,,,,00000000,,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,2459130.00,0.2
CENSUS,2022,END OF DEC,,STATE,MASSACHUSETTS,25,,,,,,,00000000,,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,182630.00,7
CENSUS,2022,END OF DEC,,STATE,MICHIGAN,26,,,,,,,00000000,,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,17234017.00,0.4
CENSUS,2022,END OF DEC,,STATE,MINNESOTA,27,,,,,,,00000000,,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,14553497.00,1.8
CENSUS,2022,END OF DEC,,STATE,MISSISSIPPI,28,,,,,,,00000000,,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,4673149.00,11
CENSUS,2022,END OF DEC,,STATE,MISSOURI,29,,,,,,,00000000,,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,11474121.00,8.2
CENSUS,2022,END OF DEC,,STATE,MONTANA,30,,,,,,,00000000,,CHICKENS,"CHICKENS, LAYERS - INVENTORY",TOTAL,NOT SPECIFIED,1235100.00,0.5
