Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2022,END OF DEC,,NATIONAL,US TOTAL,,,,,,,,00000000,,CHICKENS,"CHICKENS, PULLETS, REPLACEMENT - INVENTORY",TOTAL,NOT SPECIFIED,144030599.00,4.4
CENSUS,2022,END OF DEC,,STATE,ALABAMA,01,,,,,,,00000000,,CHICKENS,"CHICKENS, PULLETS, REPLACEMENT - INVENTORY",TOTAL,NOT SPECIFIED,6491110.00,12.6
CENSUS,2022,END OF DEC,,STATE,ALASKA,02,,,,,,,00000000,,CHICKENS,"CHICKENS, PULLETS, REPLACEMENT - INVENTORY",TOTAL,NOT SPECIFIED,807.00,(L)
CENSUS,2022,END OF DEC,,STATE,ARIZONA,04,,,,,,,00000000,,CHICKENS,"CHICKENS, PULLETS, REPLACEMENT - INVENTORY",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,END OF DEC,,STATE,ARKANSAS,05,,,,,,,00000000,,CHICKENS,"CHICKENS, PULLETS, REPLACEMENT - INVENTORY",TOTAL,NOT SPECIFIED,9989619.00,11.3
CENSUS,2022,END OF DEC,,STATE,CALIFORNIA,06,,,,,,,00000000,,CHICKENS,"CHICKENS, PULLETS, REPLACEMENT - INVENTORY",TOTAL,NOT SPECIFIED,3794018.00,5.2
CENSUS,2022,END OF DEC,,STATE,COLORADO,08,,,,,,,00000000,,CHICKENS,"CHICKENS, PULLETS, REPLACEMENT - INVENTORY",TOTAL,NOT SPECIFIED,2140836.00,0.1
CENSUS,2022,END OF DEC,,STATE,CONNECTICUT,09,,,,,,,00000000,,CHICKENS,"CHICKENS, PULLETS, REPLACEMENT - INVENTORY",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,END OF DEC,,STATE,DELAWARE,10,,,,,,,00000000,,CHICKENS,"CHICKENS, PULLETS, REPLACEMENT - INVENTORY",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,END OF DEC,,STATE,FLORIDA,12,,,,,,,00000000,,CHICKENS,"CHICKENS, PULLETS, REPLACEMENT - INVENTORY",TOTAL,NOT SPECIFIED,3020429.00,3.2
