Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2022,END OF DEC,,NATIONAL,US TOTAL,,,,,,,,00000000,,CHICKENS,"CHICKENS, ROOSTERS - INVENTORY",TOTAL,NOT SPECIFIED,7720779,3.8
CENSUS,2022,END OF DEC,,STATE,ALABAMA,01,,,,,,,00000000,,CHICKENS,"CHICKENS, ROOSTERS - INVENTORY",TOTAL,NOT SPECIFIED,753783,18.2
CENSUS,2022,END OF DEC,,STATE,ALASKA,02,,,,,,,00000000,,CHICKENS,"CHICKENS, ROOSTERS - INVENTORY",TOTAL,NOT SPECIFIED,157,(L)
CENSUS,2022,END OF DEC,,STATE,ARIZONA,04,,,,,,,00000000,,CHICKENS,"CHICKENS, ROOSTERS - INVENTORY",TOTAL,NOT SPECIFIED,1835,12.2
CENSUS,2022,END OF DEC,,STATE,ARKANSAS,05,,,,,,,00000000,,CHICKENS,"CHICKENS, ROOSTERS - INVENTORY",TOTAL,NOT SPECIFIED,1152750,10.2
CENSUS,2022,END OF DEC,,STATE,CALIFORNIA,06,,,,,,,00000000,,CHICKENS,"CHICKENS, ROOSTERS - INVENTORY",TOTAL,NOT SPECIFIED,40818,2.2
CENSUS,2022,END OF DEC,,STATE,COLORADO,08,,,,,,,00000000,,CHICKENS,"CHICKENS, ROOSTERS - INVENTORY",TOTAL,NOT SPECIFIED,(D),(D)
CENSUS,2022,END OF DEC,,STATE,CONNECTICUT,09,,,,,,,00000000,,CHICKENS,"CHICKENS, ROOSTERS - INVENTORY",TOTAL,NOT SPECIFIED,5367,(H)
CENSUS,2022,END OF DEC,,STATE,DELAWARE,10,,,,,,,00000000,,CHICKENS,"CHICKENS, ROOSTERS - INVENTORY",TOTAL,NOT SPECIFIED,206,24.5
CENSUS,2022,END OF DEC,,STATE,FLORIDA,12,,,,,,,00000000,,CHICKENS,"CHICKENS, ROOSTERS - INVENTORY",TOTAL,NOT SPECIFIED,44689,35.3
CENSUS,2022,END OF DEC,,STATE,GEORGIA,13,,,,,,,00000000,,CHICKENS,"CHICKENS, ROOSTERS - INVENTORY",TOTAL,NOT SPECIFIED,1152873,16.1
CENSUS,2022,END OF DEC,,STATE,HAWAII,15,,,,,,,00000000,,CHICKENS,"CHICKENS, ROOSTERS - INVENTORY",TOTAL,NOT SPECIFIED,3022,33.2
CENSUS,2022,END OF DEC,,STATE,IDAHO,16,,,,,,,00000000,,CHICKENS,"CHICKENS, ROOSTERS - INVENTORY",TOTAL,NOT SPECIFIED,13688,2.3
CENSUS,2022,END OF DEC,,STATE,ILLINOIS,17,,,,,,,00000000,,CHICKENS,"CHICKENS, ROOSTERS - INVENTORY",TOTAL,NOT SPECIFIED,12744,50.6
CENSUS,2022,END OF DEC,,STATE,INDIANA,18,,,,,,,00000000,,CHICKENS,"CHICKENS, ROOSTERS - INVENTORY",TOTAL,NOT SPECIFIED,113041,5.7
CENSUS,2022,END OF DEC,,STATE,IOWA,19,,,,,,,00000000,,CHICKENS,"CHICKENS, ROOSTERS - INVENTORY",TOTAL,NOT SPECIFIED,88735,17.9
