Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2022,END OF DEC,,NATIONAL,US TOTAL,,,,,,,,00000000,,TURKEYS,TURKEYS - INVENTORY,TOTAL,NOT SPECIFIED,97312583,6
CENSUS,2022,END OF DEC,,STATE,ALABAMA,01,,,,,,,00000000,,TURKEYS,TURKEYS - INVENTORY,TOTAL,NOT SPECIFIED,19134,1.2
CENSUS,2022,END OF DEC,,STATE,ALASKA,02,,,,,,,00000000,,TURKEYS,TURKEYS - INVENTORY,TOTAL,NOT SPECIFIED,683,(L)
CENSUS,2022,END OF DEC,,STATE,ARIZONA,04,,,,,,,00000000,,TURKEYS,TURKEYS - INVENTORY,TOTAL,NOT SPECIFIED,1884,10.3
CENSUS,2022,END OF DEC,,STATE,ARKANSAS,05,,,,,,,00000000,,TURKEYS,TURKEYS - INVENTORY,TOTAL,NOT SPECIFIED,11393027,9.3
CENSUS,2022,END OF DEC,,STATE,CALIFORNIA,06,,,,,,,00000000,,TURKEYS,TURKEYS - INVENTORY,TOTAL,NOT SPECIFIED,2186868,4
CENSUS,2022,END OF DEC,,STATE,COLORADO,08,,,,,,,00000000,,TURKEYS,TURKEYS - INVENTORY,TOTAL,NOT SPECIFIED,5735,7.5
CENSUS,2022,END OF DEC,,STATE,CONNECTICUT,09,,,,,,,00000000,,TURKEYS,TURKEYS - INVENTORY,TOTAL,NOT SPECIFIED,3108,34.3
CENSUS,2022,END OF DEC,,STATE,DELAWARE,10,,,,,,,00000000,,TURKEYS,TURKEYS - INVENTORY,TOTAL,NOT SPECIFIED,1512,3.4
CENSUS,2022,END OF DEC,,STATE,FLORIDA,12,,,,,,,00000000,,TURKEYS,TURKEYS - INVENTORY,TOTAL,NOT SPECIFIED,7959,12.5
CENSUS,2022,END OF DEC,,STATE,GEORGIA,13,,,,,,,00000000,,TURKEYS,TURKEYS - INVENTORY,TOTAL,NOT SPECIFIED,7011,8.7
CENSUS,2022,END OF DEC,,STATE,HAWAII,15,,,,,,,00000000,,TURKEYS,TURKEYS - INVENTORY,TOTAL,NOT SPECIFIED,361,18.5
CENSUS,2022,END OF DEC,,STATE,IDAHO,16,,,,,,,00000000,,TURKEYS,TURKEYS - INVENTORY,TOTAL,NOT SPECIFIED,4644,16.6
CENSUS,2022,END OF DEC,,STATE,ILLINOIS,17,,,,,,,00000000,,TURKEYS,TURKEYS - INVENTORY,TOTAL,NOT SPECIFIED,986321,3.6
CENSUS,2022,END OF DEC,,STATE,INDIANA,18,,,,,,,00000000,,TURKEYS,TURKEYS - INVENTORY,TOTAL,NOT SPECIFIED,8486069,6.1
