"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2022","END OF DEC","","COUNTY","ALABAMA","01","BLACK BELT","40","AUTAUGA","001","","","00000000","","HOGS","HOGS - INVENTORY","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","END OF DEC","","COUNTY","ALABAMA","01","BLACK BELT","40","BULLOCK","011","","","00000000","","HOGS","HOGS - INVENTORY","TOTAL","NOT SPECIFIED","52","4.5"
"CENSUS","2022","END OF DEC","","COUNTY","ALABAMA","01","BLACK BELT","40","DALLAS","047","","","00000000","","HOGS","HOGS - INVENTORY","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","END OF DEC","","COUNTY","ALABAMA","01","BLACK BELT","40","ELMORE","051","","","00000000","","HOGS","HOGS - INVENTORY","TOTAL","NOT SPECIFIED","127","4.5"
"CENSUS","2022","END OF DEC","","COUNTY","ALABAMA","01","BLACK BELT","40","GREENE","063","","","00000000","","HOGS","HOGS - INVENTORY","TOTAL","NOT SPECIFIED","6","4.5"
"CENSUS","2022","END OF DEC","","COUNTY","ALABAMA","01","BLACK BELT","40","HALE","065","","","00000000","","HOGS","HOGS - INVENTORY","TOTAL","NOT SPECIFIED","57","4.5"
"CENSUS","2022","END OF DEC","","COUNTY","ALABAMA","01","BLACK BELT","40","LOWNDES","085","","","00000000","","HOGS","HOGS - INVENTORY","TOTAL","NOT SPECIFIED","116","4.5"
"CENSUS","2022","END OF DEC","","COUNTY","ALABAMA","01","BLACK BELT","40","MACON","087","","","00000000","","HOGS","HOGS - INVENTORY","TOTAL","NOT SPECIFIED","34","4.5"
"CENSUS","2022","END OF DEC","","COUNTY","ALABAMA","01","BLACK BELT","40","MARENGO","091","","","00000000","","HOGS","HOGS - INVENTORY","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","END OF DEC","","COUNTY","ALABAMA","01","BLACK BELT","40","MONTGOMERY","101","","","00000000","","HOGS","HOGS - INVENTORY","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","END OF DEC","","COUNTY","ALABAMA","01","BLACK BELT","40","PERRY","105","","","00000000","","HOGS","HOGS - INVENTORY","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","END OF DEC","","COUNTY","ALABAMA","01","BLACK BELT","40","SUMTER","119","","","00000000","","HOGS","HOGS - INVENTORY","TOTAL","NOT SPECIFIED","3,678","4.5"
"CENSUS","2022","END OF DEC","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","BALDWIN","003","","","00000000","","HOGS","HOGS - INVENTORY","TOTAL","NOT SPECIFIED","161","4.5"
"CENSUS","2022","END OF DEC","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","BUTLER","013","","","00000000","","HOGS","HOGS - INVENTORY","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","END OF DEC","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","CLARKE","025","","","00000000","","HOGS","HOGS - INVENTORY","TOTAL","NOT SPECIFIED","104","4.5"
"CENSUS","2022","END OF DEC","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","CONECUH","035","","","00000000","","HOGS","HOGS - INVENTORY","TOTAL","NOT SPECIFIED","409","4.5"
"CENSUS","2022","END OF DEC","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","ESCAMBIA","053","","","00000000","","HOGS","HOGS - INVENTORY","TOTAL","NOT SPECIFIED","36","4.5"
"CENSUS","2022","END OF DEC","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","MOBILE","097","","","00000000","","HOGS","HOGS - INVENTORY","TOTAL","NOT SPECIFIED","118","4.5"
"CENSUS","2022","END OF DEC","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","MONROE","099","","","00000000","","HOGS","HOGS - INVENTORY","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","END OF DEC","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","WASHINGTON","129","","","00000000","","HOGS","HOGS - INVENTORY","TOTAL","NOT SPECIFIED","143","4.5"
"CENSUS","2022","END OF DEC","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","WILCOX","131","","","00000000","","HOGS","HOGS - INVENTORY","TOTAL","NOT SPECIFIED","408","4.5"
"CENSUS","2022","END OF DEC","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","BLOUNT","009","","","00000000","","HOGS","HOGS - INVENTORY","TOTAL","NOT SPECIFIED","117","4.5"
