Program,Year,Period,WeekEnding,GeoLevel,State,StateANSI,AgDistrict,AgDistrictCode,County,CountyANSI,ZipCode,Region,watershed_code,Watershed,Commodity,DataItem,Domain,DomainCategory,Value,CV___
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,"BLACK BELT",40,AUTAUGA,1,NaN,NaN,0,NaN,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,10.0730433408065,NaN
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,"BLACK BELT",40,BULLOCK,11,NaN,NaN,0,NaN,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,52,4.5
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,"BLACK BELT",40,DALLAS,47,NaN,NaN,0,NaN,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,5.03652167040325,NaN
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,"BLACK BELT",40,ELMORE,51,NaN,NaN,0,NaN,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,127,4.5
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,"BLACK BELT",40,GREENE,63,NaN,NaN,0,NaN,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,6,4.5
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,"BLACK BELT",40,HALE,65,NaN,NaN,0,NaN,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,57,4.5
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,"BLACK BELT",40,LOWNDES,85,NaN,NaN,0,NaN,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,116,4.5
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,"BLACK BELT",40,MACON,87,NaN,NaN,0,NaN,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,34,4.5
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,"BLACK BELT",40,MARENGO,91,NaN,NaN,0,NaN,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,75.663028876268,NaN
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,"BLACK BELT",40,MONTGOMERY,101,NaN,NaN,0,NaN,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,10.0730433408065,NaN
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,"BLACK BELT",40,PERRY,105,NaN,NaN,0,NaN,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,5.03652167040325,NaN
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,"BLACK BELT",40,SUMTER,119,NaN,NaN,0,NaN,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,3527265878.41243,4.5
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,"COASTAL PLAINS & GULF COAST",50,BALDWIN,3,NaN,NaN,0,NaN,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,161,4.5
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,"COASTAL PLAINS & GULF COAST",50,BUTLER,13,NaN,NaN,0,NaN,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,703.862577348923,NaN
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,"COASTAL PLAINS & GULF COAST",50,CLARKE,25,NaN,NaN,0,NaN,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,104,4.5
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,"COASTAL PLAINS & GULF COAST",50,CONECUH,35,NaN,NaN,0,NaN,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,409,4.5
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,"COASTAL PLAINS & GULF COAST",50,ESCAMBIA,53,NaN,NaN,0,NaN,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,36,4.5
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,"COASTAL PLAINS & GULF COAST",50,MOBILE,97,NaN,NaN,0,NaN,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,118,4.5
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,"COASTAL PLAINS & GULF COAST",50,MONROE,99,NaN,NaN,0,NaN,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,10.0730433408065,NaN
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,"COASTAL PLAINS & GULF COAST",50,WASHINGTON,129,NaN,NaN,0,NaN,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,143,4.5
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,"COASTAL PLAINS & GULF COAST",50,WILCOX,131,NaN,NaN,0,NaN,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,408,4.5
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,"MOUNTAINS & EASTERN VALLEY",20,BLOUNT,9,NaN,NaN,0,NaN,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,117,4.5
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,"MOUNTAINS & EASTERN VALLEY",20,CALHOUN,15,NaN,NaN,0,NaN,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,328,4.5
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,"MOUNTAINS & EASTERN VALLEY",20,CHEROKEE,19,NaN,NaN,0,NaN,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,3527264793.52574,NaN
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,"MOUNTAINS & EASTERN VALLEY",20,CLEBURNE,29,NaN,NaN,0,NaN,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,164,4.5
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,"MOUNTAINS & EASTERN VALLEY",20,CULLMAN,43,NaN,NaN,0,NaN,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,491,4.5
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,"MOUNTAINS & EASTERN VALLEY",20,DE KALB,49,NaN,NaN,0,NaN,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,3527264803.47351,4.5
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,"MOUNTAINS & EASTERN VALLEY",20,ETOWAH,55,NaN,NaN,0,NaN,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,208,4.5
CENSUS,2022,END OF DEC,NaN,COUNTY,ALABAMA,1,"MOUNTAINS & EASTERN VALLEY",20,JACKSON,71,NaN,NaN,0,NaN,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,695,4.5
