ID,County,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga,Alabama,66.2,2.3,125,63.9
AL-003,Baldwin,Alabama,69.6,2.8,129,66.8
AL-005,Barbour,Alabama,66.9,2.2,127,64.8
AL-007,Bibb,Alabama,64.9,2.2,126,62.7
AL-009,Blount,Alabama,63.5,2.9,127,60.6
AL-011,Bullock,Alabama,66.2,2.1,122,64.1
AL-013,Butler,Alabama,66.7,2.1,122,64.6
AL-015,Calhoun,Alabama,63.6,2.6,127,61
AL-017,Chambers,Alabama,63.8,2.3,126,61.6
AL-019,Cherokee,Alabama,62.7,2.1,121,60.6
AL-021,Chilton,Alabama,64.9,2.2,126,62.7
AL-023,Choctaw,Alabama,67.4,2.9,130,64.5
AL-025,Clarke,Alabama,67.3,2.4,128,64.9
AL-027,Clay,Alabama,63,2.3,126,60.7
AL-029,Cleburne,Alabama,62.7,2.8,126,59.9
AL-031,Coffee,Alabama,67.4,2,124,65.4
AL-033,Colbert,Alabama,63,3.1,130,59.9
AL-035,Conecuh,Alabama,67.3,1.9,120,65.4
AL-037,Coosa,Alabama,64.3,2,123,62.3
AL-039,Covington,Alabama,67.5,1.9,121,65.6
AL-041,Crenshaw,Alabama,66.4,2,121,64.4
AL-043,Cullman,Alabama,63.2,2.9,129,60.3
AL-045,Dale,Alabama,67.6,2,125,65.7
AL-047,Dallas,Alabama,66.9,2.5,128,64.3
AL-049,DeKalb,Alabama,61,1.8,119,59.3
AL-051,Elmore,Alabama,65.6,1.8,117,63.8
AL-053,Escambia,Alabama,67.7,1.7,122,66
AL-055,Etowah,Alabama,63.4,2.5,126,60.9
AL-057,Fayette,Alabama,64.3,2.3,126,62
AL-059,Franklin,Alabama,62.6,2.6,129,59.9
AL-061,Geneva,Alabama,67.9,1.8,121,66.1
AL-063,Greene,Alabama,66.1,2.2,126,63.8
AL-065,Hale,Alabama,66,2.3,128,63.7
AL-067,Henry,Alabama,67.7,2.1,124,65.7
AL-069,Houston,Alabama,68.2,1.8,120,66.5
AL-071,Jackson,Alabama,61.6,2.1,126,59.4
AL-073,Jefferson,Alabama,64.7,2.9,129,61.8
AL-075,Lamar,Alabama,64.7,2.7,128,62.1
AL-077,Lauderdale,Alabama,62.8,3.3,130,59.5
AL-079,Lawrence,Alabama,62.6,2.6,129,60.1
AL-081,Lee,Alabama,65.2,2.2,126,63
AL-083,Limestone,Alabama,62.8,2.9,128,59.8
AL-085,Lowndes,Alabama,66.8,2.2,120,64.6
AL-087,Macon,Alabama,66.1,2,122,64
AL-089,Madison,Alabama,62.7,2.8,128,59.9
AL-091,Marengo,Alabama,66.9,2.6,130,64.3
AL-093,Marion,Alabama,63.2,2.4,129,60.8
AL-095,Marshall,Alabama,63.1,2.7,128,60.3
AL-097,Mobile,Alabama,69.7,3.3,129,66.4
AL-099,Monroe,Alabama,67.3,2.1,123,65.1
AL-101,Montgomery,Alabama,66.2,1.7,116,64.4
AL-103,Morgan,Alabama,63.1,2.9,129,60.2
AL-105,Perry,Alabama,66,2.4,129,63.6
AL-107,Pickens,Alabama,65.7,2.6,128,63.1
AL-109,Pike,Alabama,66.7,2.1,122,64.6
AL-111,Randolph,Alabama,63.3,2.8,129,60.5
AL-113,Russell,Alabama,66.5,2.3,129,64.2
AL-115,St. Clair,Alabama,63.8,2.7,126,61.1
AL-117,Shelby,Alabama,64.5,2.5,127,62
AL-119,Sumter,Alabama,66.6,2.5,130,64
AL-121,Talladega,Alabama,64.1,2.3,126,61.8
AL-123,Tallapoosa,Alabama,64.1,2,122,62.1
AL-125,Tuscaloosa,Alabama,65.1,2,123,63
AL-127,Walker,Alabama,64.2,2.6,129,61.6
AL-129,Washington,Alabama,68,2.6,129,65.4
AL-131,Wilcox,Alabama,67.1,2.4,128,64.7
AL-133,Winston,Alabama,62.6,2.4,129,60.2
AZ-001,Apache,Arizona,52.2,2.4,127,49.8
AZ-003,Cochise,Arizona,62.9,2.6,126,60.3
AZ-005,Coconino,Arizona,55.2,3.5,128,51.7
AZ-007,Gila,Arizona,61.3,2.7,123,58.5
AZ-009,Graham,Arizona,62.9,2.7,127,60.2
AZ-011,Greenlee,Arizona,58.3,2.5,125,55.8
AZ-012,La Paz,Arizona,73.6,3.3,128,70.3
AZ-013,Maricopa,Arizona,72.4,3.3,127,69.2
AZ-015,Mohave,Arizona,64.8,3.4,130,61.4
AZ-017,Navajo,Arizona,54.2,3,128,51.2
AZ-019,Pima,Arizona,69.5,2.9,128,66.5
AZ-021,Pinal,Arizona,70.6,2.9,127,67.7
AZ-023,Santa Cruz,Arizona,62.5,2.6,128,59.9
AZ-025,Yavapai,Arizona,61.5,3.2,128,58.2
AZ-027,Yuma,Arizona,74.4,3.4,128,70.9
AR-001,Arkansas,Arkansas,65.1,2.9,128,62.1
AR-003,Ashley,Arkansas,66.3,3.2,129,63.2
AR-005,Baxter,Arkansas,60.3,3.1,129,57.1
AR-007,Benton,Arkansas,61.1,3.8,129,57.3
AR-009,Boone,Arkansas,59.9,3.1,129,56.8
AR-011,Bradley,Arkansas,65.9,3.2,130,62.7
AR-013,Calhoun,Arkansas,65.3,2.6,129,62.7
AR-015,Carroll,Arkansas,60.2,3.3,129,56.9
AR-017,Chicot,Arkansas,66.4,2.9,130,63.5
AR-019,Clark,Arkansas,64.3,2.2,124,62.1
AR-021,Clay,Arkansas,62,3.3,130,58.7
AR-023,Cleburne,Arkansas,62,3.2,129,58.9
AR-025,Cleveland,Arkansas,65.1,2.7,130,62.3
AR-027,Columbia,Arkansas,65.6,2.2,128,63.4
AR-029,Conway,Arkansas,63.2,3,129,60.2
AR-031,Craighead,Arkansas,62.6,3.2,129,59.4
AR-033,Crawford,Arkansas,63.3,4,130,59.3
AR-035,Crittenden,Arkansas,63.9,2.6,127,61.3
AR-037,Cross,Arkansas,63.1,2.3,124,60.8
AR-039,Dallas,Arkansas,64.4,2.2,125,62.2
AR-041,Desha,Arkansas,65.5,2.8,129,62.7
AR-043,Drew,Arkansas,65.9,3.2,130,62.8
AR-045,Faulkner,Arkansas,63.1,2.5,126,60.5
AR-047,Franklin,Arkansas,62.8,3.6,129,59.2
AR-049,Fulton,Arkansas,60.2,3.7,130,56.5
AR-051,Garland,Arkansas,63.8,3,129,60.8
AR-053,Grant,Arkansas,64.3,2.3,126,62.1
AR-055,Greene,Arkansas,62.3,3.3,130,59
AR-057,Hempstead,Arkansas,64.7,2.2,127,62.5
AR-059,Hot Spring,Arkansas,64.3,2.6,128,61.7
AR-061,Howard,Arkansas,63.8,2.5,128,61.3
AR-063,Independence,Arkansas,61.5,2.8,127,58.7
AR-065,Izard,Arkansas,60.5,3,128,57.5
AR-067,Jackson,Arkansas,62.2,2.6,127,59.6
AR-069,Jefferson,Arkansas,64.8,2.6,128,62.1
AR-071,Johnson,Arkansas,61.9,3.3,129,58.6
AR-073,Lafayette,Arkansas,66.2,2.7,129,63.5
AR-075,Lawrence,Arkansas,61.7,3,128,58.7
AR-077,Lee,Arkansas,64.4,2.9,127,61.6
AR-079,Lincoln,Arkansas,65.5,3.1,129,62.4
AR-081,Little River,Arkansas,65.8,3.2,130,62.6
AR-083,Logan,Arkansas,63.5,3.4,129,60.2
AR-085,Lonoke,Arkansas,64,2.4,126,61.6
